_id,Bike Counter Locations,Latitude,Longitude,Setup Date,User Type
64,O'Connell Street Pennys - PYRO EVO Temporary Counter,53.3469351,-6.25911,2021-05-13T00:00:00,Pedestrians
65,Phibsborough Rd/Enniskerry Road,53.36354,-6.27208,2020-08-27T00:00:00,Pedestrians
66,Phibsborough Rd/Munster St (Removed due to Overcounting),53.36322,-6.27247,2021-06-28T00:00:00,Pedestrians
67,Portmarnock Greenway,53.40985414,-6.136892622,2020-10-30T00:00:00,Pedestrians/Cyclists
68,Richmond st south/Portabello Harbour inbound,53.33042,-6.26448,2020-08-27T00:00:00,Pedestrians
69,Richmond st south/Portabello Harbour outbound,53.33033,-6.26425,2020-08-27T00:00:00,Pedestrians
70,Richmond Street Inbound,53.33216,-6.2644,2020-12-13T00:00:00,Cyclists
71,Richmond Street Outbound,53.33216,-6.2644,2020-12-13T14:00:00,Cyclists
72,Rock Road Bus Lane,53.30869,-6.19551,2012-01-21T00:00:00,Cyclists
73,Rock Road Park - Ped's & Cyclists,53.30877,-6.19563,2012-01-21T00:00:00,Pedestrians/Cyclists
74,Rock Road Totem Inbound,53.30812,-6.19503,2012-03-07T00:00:00,Cyclists
75,Round Tower Entrance,53.32247294,-6.395453225,2018-12-18T00:00:00,Pedestrians
76,Round Tower Upstairs,53.3223607,-6.395446866,2018-12-18T00:00:00,Pedestrians
77,Talbot st/Guineys,53.35082,-6.2554,2019-02-27T00:00:00,Pedestrians
78,Talbot st/Murrays Pharmacy,53.350535,-6.253992,2019-02-27T00:00:00,Pedestrians
79,Westmoreland EAST old,53.34604478,-6.258959911,2011-06-08T00:00:00,Pedestrians
80,Westmoreland Street East/Fleet street (Removed to Return to Supplier),53.34531,-6.25933,2016-05-06T00:00:00,Pedestrians
81,Westmoreland Street West/Carrolls,53.34648,-6.25918,2016-05-06T00:00:00,Pedestrians
82,Westmoreland WEST old,53.34603384,-6.25927465,2011-05-06T00:00:00,Pedestrians
83,Wyattville Rd - Bicycles From N11,53.25097,-6.13298,2018-02-23T00:00:00,Cyclists
84,Wyattville Rd - Bicycles Towards N11,53.25104,-6.13245,2018-05-14T00:00:00,Pedestrians/Cyclists
85,Wyattville Rd At Park Gates,53.25141,-6.13295,2018-02-23T00:00:00,Pedestrians/Cyclists
86,Wyattville Road At Steps (Decommissioned Coun,53.25114299,-6.13245599,2018-02-23T00:00:00,Pedestrians
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
